Timestamp,Block Number,Event Type,Emotion,Valence,Movement Speed,Score
2025-05-22 21:50:35.127363,4,MOVEMENT,Neutral,-0.30985388,259.90492230592076,1
2025-05-22 21:50:35.194741,4,MOVEMENT,Neutral,-0.3420647,367.1583452076142,1
2025-05-22 21:50:35.260493,4,MOVEMENT,Neutral,-0.2575197,381.15043161096946,1
2025-05-22 21:50:35.327711,4,MOVEMENT,Neutral,-0.26863104,412.0309870215077,1
2025-05-22 21:50:35.394027,4,MOVEMENT,Neutral,-0.34802258,460.8606124575898,1
2025-05-22 21:50:35.462134,4,MOVEMENT,Neutral,-0.308903,486.9283357153504,1
2025-05-22 21:50:35.528030,4,MOVEMENT,Neutral,-0.25937575,520.7255523399382,1
2025-05-22 21:50:35.596411,4,MOVEMENT,Neutral,-0.31182814,605.8650100082749,1
2025-05-22 21:50:35.661342,4,MOVEMENT,Neutral,-0.34286827,594.403615805627,1
2025-05-22 21:50:35.728683,4,MOVEMENT,Neutral,-0.40612453,600.4224401459155,1
2025-05-22 21:50:35.795291,4,MOVEMENT,Neutral,-0.34183893,576.6780262984656,1
2025-05-22 21:50:35.865764,4,MOVEMENT,Neutral,-0.35652024,600.438797675891,1
2025-05-22 21:50:35.931619,4,MOVEMENT,Neutral,-0.4119103,607.6307354243077,1
2025-05-22 21:50:35.996174,4,MOVEMENT,Neutral,-0.28897604,616.1613524346566,1
2025-05-22 21:50:36.062022,4,MOVEMENT,Neutral,-0.30359995,619.5022560954408,1
2025-05-22 21:50:36.127281,4,MOVEMENT,Neutral,-0.32809037,618.4980404752687,1
2025-05-22 21:50:36.199195,4,MOVEMENT,Neutral,-0.2787994,613.3803500018713,1
2025-05-22 21:50:36.262356,4,MOVEMENT,Negative,-0.43066838,597.9002366669787,1
2025-05-22 21:50:36.327864,4,MOVEMENT,Neutral,-0.34382597,595.4115771455494,1
2025-05-22 21:50:36.395722,4,MOVEMENT,Neutral,-0.3492921,584.7599917395067,1
2025-05-22 21:50:36.461065,4,MOVEMENT,Negative,-0.45711803,586.8953853278941,1
2025-05-22 21:50:36.533298,4,MOVEMENT,Negative,-0.5121492,579.2709826647032,1
2025-05-22 21:50:36.595652,4,MOVEMENT,Negative,-0.4705148,564.3996603198816,1
2025-05-22 21:50:36.663778,4,MOVEMENT,Negative,-0.4180741,575.2769517202834,1
2025-05-22 21:50:36.733361,4,DROP,Negative,-0.36928916,0,2
2025-05-22 21:50:36.797418,4,DROP,Negative,-0.44503105,0,2
2025-05-22 21:50:36.862193,4,DROP,Negative,-0.5112158,0,2
2025-05-22 21:50:36.928028,4,DROP,Neutral,-0.41579947,0,2
2025-05-22 21:50:36.997218,4,DROP,Neutral,-0.32202053,0,2
2025-05-22 21:50:37.066470,4,DROP,Neutral,-0.37566954,0,2
2025-05-22 21:50:37.128364,4,DROP,Neutral,-0.3248499,0,2
2025-05-22 21:50:37.195625,4,DROP,Neutral,-0.37634015,0,2
2025-05-22 21:50:37.265469,4,DROP,Neutral,-0.41097227,0,2
2025-05-22 21:50:37.329029,4,DROP,Neutral,-0.37908328,0,2
2025-05-22 21:50:37.399511,4,DROP,Neutral,-0.34185815,0,2
2025-05-22 21:50:37.462177,4,DROP,Neutral,-0.37988248,0,2
