Timestamp,Block Number,Event Type,Emotion,Valence,Movement Speed,Score
2025-05-16 17:31:28.433615,2,MOVEMENT,Neutral,-0.39862067,957.3527538523027,1
2025-05-16 17:31:28.499460,2,MOVEMENT,Neutral,-0.45207822,944.1041910928395,1
2025-05-16 17:31:28.567691,2,MOVEMENT,Neutral,-0.34401786,925.8480684877649,1
2025-05-16 17:31:28.630770,2,MOVEMENT,Neutral,-0.3499213,901.1294135679516,1
2025-05-16 17:31:28.696716,2,MOVEMENT,Neutral,-0.34802264,883.9705399644492,1
2025-05-16 17:31:28.762753,2,MOVEMENT,Neutral,-0.31797457,852.2501374875496,1
2025-05-16 17:31:28.830253,2,MOVEMENT,Neutral,-0.35286555,826.3855166381036,1
2025-05-16 17:31:28.900469,2,DROP,Neutral,-0.38446563,0,2
2025-05-16 17:31:28.962524,2,DROP,Neutral,-0.39533845,0,2
2025-05-16 17:31:29.034042,2,DROP,Neutral,-0.38695848,0,2
2025-05-16 17:31:29.100565,2,DROP,Neutral,-0.3401628,0,2
2025-05-16 17:31:29.165436,2,DROP,Neutral,-0.3901344,0,2
2025-05-16 17:31:29.229502,2,DROP,Neutral,-0.3916778,0,2
2025-05-16 17:31:29.303361,2,DROP,Neutral,-0.43708944,0,2
2025-05-16 17:31:29.367420,2,DROP,Neutral,-0.35840788,0,2
2025-05-16 17:31:29.433635,2,DROP,Neutral,-0.35741514,0,2
2025-05-16 17:31:29.496406,2,DROP,Neutral,-0.12278585,0,2
2025-05-16 17:31:29.566221,2,DROP,Neutral,0.08200852,0,2
2025-05-16 17:31:29.630028,2,DROP,Neutral,0.08062471,0,2
2025-05-16 17:31:29.701850,2,DROP,Neutral,0.069477715,0,2
2025-05-16 17:31:29.766044,2,DROP,Positive,0.23638718,0,2
2025-05-16 17:31:29.831490,2,DROP,Neutral,0.16268146,0,2
2025-05-16 17:31:29.897268,3,MOVEMENT,Positive,0.26855612,0,2
2025-05-16 17:31:29.963151,3,MOVEMENT,Positive,0.34855556,152.0890242541893,2
2025-05-16 17:31:30.030638,3,MOVEMENT,Positive,0.38600585,552.5509334997384,2
2025-05-16 17:31:30.102029,3,DROP,Positive,0.42028916,0,2
2025-05-16 17:31:30.168533,3,MOVEMENT,Neutral,0.16149557,0,2
2025-05-16 17:31:30.230702,3,MOVEMENT,Neutral,0.11980688,497.6108083418647,2
2025-05-16 17:31:30.299414,3,MOVEMENT,Neutral,0.005818328,903.4502989683859,2
2025-05-16 17:31:30.364236,3,MOVEMENT,Neutral,0.21131854,895.309968874837,2
2025-05-16 17:31:30.434372,3,MOVEMENT,Neutral,0.20771928,1048.556934517534,2
2025-05-16 17:31:30.502451,3,MOVEMENT,Neutral,0.1548595,1067.3232448729648,2
2025-05-16 17:31:30.565596,3,MOVEMENT,Neutral,-0.0022021048,1117.395700082971,2
2025-05-16 17:31:30.633142,3,MOVEMENT,Neutral,0.023667682,1161.7323916465243,2
2025-05-16 17:31:30.702669,3,MOVEMENT,Neutral,0.084049,1203.8360823644405,2
2025-05-16 17:31:30.766443,3,MOVEMENT,Neutral,-0.036702167,1237.1901172562907,2
2025-05-16 17:31:30.832225,3,MOVEMENT,Neutral,0.11505291,1266.6436821844602,2
2025-05-16 17:31:30.899259,3,MOVEMENT,Neutral,-0.0024466626,1262.6499706744323,2
2025-05-16 17:31:30.967572,3,MOVEMENT,Neutral,-0.116380185,1251.2960716114317,2
2025-05-16 17:31:31.035139,3,MOVEMENT,Neutral,0.026496187,1217.9871730396858,2
2025-05-16 17:31:31.102751,3,MOVEMENT,Neutral,0.10004985,1200.3394753989742,2
2025-05-16 17:31:31.166923,3,MOVEMENT,Neutral,0.22759321,1192.0204834049266,2
2025-05-16 17:31:31.231970,3,MOVEMENT,Neutral,0.23421714,1171.9928052014916,2
2025-05-16 17:31:31.301513,3,MOVEMENT,Negative,0.29952228,1146.9756364417567,2
2025-05-16 17:31:31.366692,3,MOVEMENT,Positive,0.3927887,1100.815787646884,2
2025-05-16 17:31:31.431798,3,MOVEMENT,Negative,0.37378424,1061.5800468701461,2
2025-05-16 17:31:31.501326,3,MOVEMENT,Positive,0.35543975,1006.1212091860589,2
2025-05-16 17:31:31.568799,3,DROP,Positive,0.36540824,0,3
2025-05-16 17:31:31.636395,3,DROP,Positive,0.40292647,0,3
2025-05-16 17:31:31.702295,3,DROP,Positive,0.37687445,0,3
2025-05-16 17:31:31.769749,3,DROP,Positive,0.38617927,0,3
2025-05-16 17:31:31.830907,3,DROP,Positive,0.3475672,0,3
2025-05-16 17:31:31.904061,3,DROP,Negative,0.24965653,0,3
2025-05-16 17:31:31.969502,3,DROP,Negative,0.213691,0,3
2025-05-16 17:31:32.031161,3,DROP,Positive,0.26954755,0,3
2025-05-16 17:31:32.101238,3,DROP,Negative,0.31294546,0,3
2025-05-16 17:31:32.167533,3,DROP,Neutral,0.19045556,0,3
2025-05-16 17:31:32.240766,3,DROP,Neutral,0.0959827,0,3
2025-05-16 17:31:32.303763,3,DROP,Positive,0.22809154,0,3
2025-05-16 17:31:32.370639,3,DROP,Neutral,0.17085218,0,3
2025-05-16 17:31:32.437046,3,DROP,Positive,0.34254974,0,3
2025-05-16 17:31:32.504179,3,DROP,Negative,0.14671738,0,3
2025-05-16 17:31:32.570781,3,DROP,Positive,0.27000204,0,3
2025-05-16 17:31:32.640019,3,DROP,Positive,0.3067812,0,3
2025-05-16 17:31:32.705319,4,MOVEMENT,Negative,0.28288406,0,3
2025-05-16 17:31:32.774029,4,MOVEMENT,Positive,0.29905793,680.0844550442739,3
2025-05-16 17:31:32.840550,4,MOVEMENT,Neutral,0.12086714,289.76160581614704,3
2025-05-16 17:31:32.908129,4,DROP,Neutral,0.16878223,0,3
2025-05-16 17:31:32.969681,4,MOVEMENT,Neutral,0.20131211,0,3
2025-05-16 17:31:33.037120,4,MOVEMENT,Positive,0.22528736,766.8912250315819,3
2025-05-16 17:31:34.703286,5,MOVEMENT,Neutral,-0.059002828,0,3
2025-05-16 17:31:34.771024,5,MOVEMENT,Neutral,0.031587567,545.182016780121,3
2025-05-16 17:31:34.833720,5,MOVEMENT,Neutral,0.03409648,229.5503027794768,3
2025-05-16 17:31:34.903709,5,MOVEMENT,Neutral,0.06765693,61.50917753080487,3
2025-05-16 17:31:34.971430,5,MOVEMENT,Neutral,-0.12639669,104.62832044488844,3
2025-05-16 17:31:35.038501,5,MOVEMENT,Neutral,-0.046036903,89.2192155518507,3
2025-05-16 17:31:35.104165,5,MOVEMENT,Neutral,-0.098734185,63.82225918885232,3
2025-05-16 17:31:35.170459,5,MOVEMENT,Neutral,-0.15353522,46.11378885048739,3
2025-05-16 17:31:35.238143,5,MOVEMENT,Neutral,-0.1971939,64.65395018518709,3
2025-05-16 17:31:35.304267,5,MOVEMENT,Neutral,-0.130759,66.13039026838759,3
2025-05-16 17:31:35.371887,5,MOVEMENT,Neutral,-0.13646954,78.58155498938801,3
2025-05-16 17:31:35.438723,5,MOVEMENT,Neutral,-0.19973075,87.9671036530393,3
2025-05-16 17:31:35.503588,5,MOVEMENT,Negative,-0.33790913,121.71221503145404,3
2025-05-16 17:31:35.572172,5,MOVEMENT,Neutral,-0.30531245,144.6147187207196,3
2025-05-16 17:31:35.643009,5,MOVEMENT,Negative,-0.34530255,180.20149464968648,3
