Timestamp,Letter,Emotion,Movement Speed,Avg Error Distance
2025-05-16 17:54:12,A,Neutral,0.00,0.00
2025-05-16 17:54:12,A,Neutral,0.00,0.00
2025-05-16 17:54:12,A,Neutral,0.00,0.00
2025-05-16 17:54:12,A,Neutral,0.00,0.00
2025-05-16 17:54:12,A,Neutral,0.00,0.00
2025-05-16 17:54:12,A,Neutral,0.00,0.00
2025-05-16 17:54:12,A,Neutral,0.00,0.00
2025-05-16 17:54:12,A,Neutral,0.00,0.00
2025-05-16 17:54:12,A,Negative,0.00,0.00
2025-05-16 17:54:12,A,Negative,0.00,0.00
2025-05-16 17:54:13,A,Neutral,0.00,0.00
2025-05-16 17:54:13,A,Neutral,0.00,0.00
2025-05-16 17:54:13,A,Neutral,0.00,0.00
2025-05-16 17:54:13,A,Neutral,0.00,0.00
2025-05-16 17:54:13,A,Negative,865.31,8.62
2025-05-16 17:54:13,A,Negative,364.65,8.68
2025-05-16 17:54:13,A,Negative,116.68,8.39
2025-05-16 17:54:13,A,Negative,68.40,7.91
2025-05-16 17:54:13,A,Negative,119.02,7.32
2025-05-16 17:54:13,A,Negative,73.63,6.73
2025-05-16 17:54:13,A,Negative,34.63,6.24
2025-05-16 17:54:13,A,Negative,41.93,5.79
2025-05-16 17:54:13,A,Negative,74.89,5.30
2025-05-16 17:54:13,A,Negative,63.38,4.85
2025-05-16 17:54:13,A,Negative,33.24,4.43
2025-05-16 17:54:14,A,Negative,117.73,4.12
2025-05-16 17:54:14,A,Negative,109.68,3.83
2025-05-16 17:54:14,A,Negative,82.45,3.58
2025-05-16 17:54:14,A,Negative,47.90,3.36
2025-05-16 17:54:14,A,Negative,64.06,3.18
2025-05-16 17:54:14,A,Negative,95.19,3.01
2025-05-16 17:54:14,A,Negative,165.93,2.84
2025-05-16 17:54:14,A,Negative,219.48,2.71
2025-05-16 17:54:14,A,Negative,269.34,2.61
2025-05-16 17:54:14,A,Negative,219.39,2.51
2025-05-16 17:54:14,A,Negative,250.17,2.45
2025-05-16 17:54:14,A,Negative,291.24,2.39
2025-05-16 17:54:14,A,Negative,207.00,2.32
2025-05-16 17:54:14,A,Negative,213.14,2.24
2025-05-16 17:54:14,A,Negative,199.54,2.18
2025-05-16 17:54:15,A,Negative,214.06,2.11
2025-05-16 17:54:15,A,Negative,162.47,2.03
2025-05-16 17:54:15,A,Negative,169.19,1.96
2025-05-16 17:54:15,A,Negative,105.91,1.91
2025-05-16 17:54:15,A,Negative,120.29,1.87
2025-05-16 17:54:15,A,Negative,16.31,1.85
2025-05-16 17:54:15,A,Negative,34.87,1.81
2025-05-16 17:54:15,A,Negative,76.98,1.76
2025-05-16 17:54:15,A,Negative,88.14,1.74
2025-05-16 17:54:15,A,Negative,80.90,1.75
2025-05-16 17:54:15,A,Negative,123.42,1.76
2025-05-16 17:54:15,A,Negative,162.51,1.77
2025-05-16 17:54:15,A,Negative,169.58,1.75
2025-05-16 17:54:15,A,Negative,197.63,1.72
2025-05-16 17:54:15,A,Negative,222.06,1.68
2025-05-16 17:54:16,A,Negative,274.05,1.65
2025-05-16 17:54:16,A,Negative,295.50,1.66
2025-05-16 17:54:16,A,Negative,292.74,1.70
2025-05-16 17:54:16,A,Negative,215.66,1.76
2025-05-16 17:54:16,A,Negative,138.24,1.84
2025-05-16 17:54:16,A,Negative,86.75,1.91
2025-05-16 17:54:16,A,Negative,15.47,1.98
2025-05-16 17:54:16,A,Neutral,210.92,2.11
2025-05-16 17:54:16,A,Neutral,359.98,2.30
2025-05-16 17:54:16,A,Neutral,398.44,2.56
2025-05-16 17:54:16,A,Negative,360.01,2.82
2025-05-16 17:54:16,A,Negative,524.12,2.91
2025-05-16 17:54:16,A,Negative,1024.25,3.03
2025-05-16 17:54:16,A,Negative,1017.29,3.00
2025-05-16 17:54:16,A,Neutral,372.98,2.98
2025-05-16 17:54:17,A,Neutral,66.35,2.98
2025-05-16 17:54:17,A,Neutral,181.60,3.02
2025-05-16 17:54:17,A,Neutral,234.93,3.03
2025-05-16 17:54:17,A,Neutral,224.96,3.00
2025-05-16 17:54:17,A,Neutral,311.66,2.98
2025-05-16 17:54:17,K,Neutral,0.00,0.00
2025-05-16 17:54:17,K,Neutral,44.53,9.09
2025-05-16 17:54:17,K,Neutral,34.25,9.39
2025-05-16 17:54:17,K,Neutral,97.89,10.00
2025-05-16 17:54:17,K,Neutral,15.37,10.37
2025-05-16 17:54:17,K,Neutral,94.79,10.90
2025-05-16 17:54:17,K,Neutral,234.14,11.14
2025-05-16 17:54:17,K,Negative,302.00,11.29
2025-05-16 17:54:17,K,Negative,200.36,11.53
2025-05-16 17:54:17,K,Neutral,181.47,11.75
2025-05-16 17:54:18,K,Neutral,169.67,11.74
2025-05-16 17:54:18,K,Neutral,67.79,11.72
2025-05-16 17:54:18,K,Neutral,76.63,11.76
2025-05-16 17:54:18,K,Neutral,146.40,11.87
2025-05-16 17:54:18,K,Neutral,146.05,12.02
2025-05-16 17:54:18,K,Neutral,272.86,12.25
2025-05-16 17:54:18,K,Neutral,41.12,12.46
2025-05-16 17:54:18,K,Neutral,403.74,12.57
2025-05-16 17:54:18,K,Neutral,488.19,12.91
2025-05-16 17:54:18,K,Neutral,210.88,13.16
2025-05-16 17:54:18,K,Neutral,998.35,13.16
2025-05-16 17:54:18,K,Neutral,121.98,13.16
2025-05-16 17:54:18,K,Neutral,818.05,13.37
2025-05-16 17:54:18,K,Neutral,123.88,13.49
2025-05-16 17:54:18,K,Neutral,1196.40,13.41
2025-05-16 17:54:19,K,Neutral,494.75,13.38
2025-05-16 17:54:19,K,Neutral,906.57,13.50
2025-05-16 17:54:19,K,Neutral,673.84,13.48
2025-05-16 17:54:19,K,Neutral,123.40,13.45
2025-05-16 17:54:19,K,Neutral,876.59,13.48
2025-05-16 17:54:19,K,Neutral,658.76,13.69
2025-05-16 17:54:19,K,Neutral,861.67,14.20
2025-05-16 17:54:19,K,Neutral,0.00,14.20
2025-05-16 17:54:19,K,Neutral,0.00,14.20
2025-05-16 17:54:19,K,Neutral,0.00,14.20
2025-05-16 17:54:19,K,Neutral,0.00,14.20
2025-05-16 17:54:19,K,Neutral,0.00,14.20
2025-05-16 17:54:19,K,Neutral,0.00,14.20
2025-05-16 17:54:19,K,Neutral,0.00,14.20
2025-05-16 17:54:19,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:20,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:21,K,Neutral,0.00,14.20
2025-05-16 17:54:22,K,Neutral,0.00,14.20
2025-05-16 17:54:22,K,Neutral,0.00,14.20
