Timestamp,Letter,Emotion,Movement Speed,Avg Error Distance
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:40,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Negative,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Negative,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:41,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:42,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:43,A,Neutral,0.00,0.00
2025-05-21 20:46:44,A,Neutral,0.00,0.00
2025-05-21 20:46:44,A,Neutral,0.00,0.00
2025-05-21 20:46:44,A,Neutral,15.40,0.53
2025-05-21 20:46:44,A,Neutral,0.00,0.53
2025-05-21 20:46:44,A,Neutral,11.66,0.53
2025-05-21 20:46:44,A,Neutral,0.00,0.53
2025-05-21 20:46:44,A,Neutral,0.00,0.53
2025-05-21 20:46:44,A,Neutral,11.59,0.53
2025-05-21 20:46:44,A,Neutral,0.00,0.53
2025-05-21 20:46:44,A,Neutral,12.01,0.49
2025-05-21 20:46:44,A,Neutral,11.71,0.44
2025-05-21 20:46:44,A,Neutral,16.25,0.40
2025-05-21 20:46:45,A,Neutral,16.22,0.36
2025-05-21 20:46:45,A,Neutral,26.16,0.33
2025-05-21 20:46:45,A,Neutral,23.56,0.30
2025-05-21 20:46:45,A,Neutral,32.96,0.28
2025-05-21 20:46:45,A,Neutral,25.17,0.29
2025-05-21 20:46:45,A,Neutral,36.77,0.29
2025-05-21 20:46:45,A,Neutral,33.21,0.30
2025-05-21 20:46:45,A,Neutral,42.00,0.32
2025-05-21 20:46:45,A,Neutral,11.78,0.33
2025-05-21 20:46:45,A,Neutral,25.82,0.34
2025-05-21 20:46:45,A,Neutral,36.45,0.34
2025-05-21 20:46:46,A,Neutral,48.02,0.34
2025-05-21 20:46:46,A,Neutral,58.49,0.34
2025-05-21 20:46:46,A,Neutral,35.98,0.34
2025-05-21 20:46:46,A,Neutral,46.56,0.32
2025-05-21 20:46:46,A,Neutral,59.41,0.31
2025-05-21 20:46:46,A,Neutral,62.18,0.30
2025-05-21 20:46:46,A,Neutral,62.61,0.29
2025-05-21 20:46:46,A,Neutral,71.79,0.28
2025-05-21 20:46:46,A,Neutral,60.23,0.28
2025-05-21 20:46:46,A,Neutral,76.85,0.28
2025-05-21 20:46:46,A,Neutral,59.84,0.30
2025-05-21 20:46:46,A,Neutral,87.86,0.31
2025-05-21 20:46:47,A,Neutral,72.09,0.34
2025-05-21 20:46:47,A,Neutral,52.54,0.37
2025-05-21 20:46:47,A,Neutral,77.80,0.40
2025-05-21 20:46:47,A,Neutral,58.45,0.42
2025-05-21 20:46:47,A,Neutral,50.23,0.44
2025-05-21 20:46:47,A,Neutral,49.02,0.46
2025-05-21 20:46:47,A,Neutral,37.02,0.49
2025-05-21 20:46:47,A,Neutral,36.48,0.51
2025-05-21 20:46:47,A,Neutral,40.48,0.53
2025-05-21 20:46:47,A,Neutral,43.74,0.55
2025-05-21 20:46:47,A,Neutral,36.73,0.57
2025-05-21 20:46:48,A,Neutral,35.01,0.59
2025-05-21 20:46:48,A,Neutral,26.90,0.61
2025-05-21 20:46:48,A,Neutral,17.00,0.63
2025-05-21 20:46:48,A,Neutral,31.91,0.64
2025-05-21 20:46:48,A,Neutral,42.54,0.65
2025-05-21 20:46:48,A,Neutral,58.49,0.66
2025-05-21 20:46:48,A,Neutral,47.72,0.65
2025-05-21 20:46:48,A,Neutral,78.61,0.65
2025-05-21 20:46:48,A,Neutral,69.31,0.65
2025-05-21 20:46:48,A,Neutral,66.45,0.64
2025-05-21 20:46:48,A,Neutral,58.16,0.63
2025-05-21 20:46:48,A,Neutral,51.22,0.62
2025-05-21 20:46:49,A,Neutral,52.67,0.61
2025-05-21 20:46:49,A,Neutral,41.85,0.59
2025-05-21 20:46:49,A,Neutral,35.32,0.59
2025-05-21 20:46:49,A,Neutral,32.27,0.58
2025-05-21 20:46:49,A,Neutral,27.19,0.57
2025-05-21 20:46:49,A,Neutral,36.65,0.56
2025-05-21 20:46:49,A,Neutral,40.52,0.56
2025-05-21 20:46:49,A,Neutral,49.40,0.55
2025-05-21 20:46:49,A,Neutral,50.89,0.54
2025-05-21 20:46:49,A,Neutral,44.57,0.53
2025-05-21 20:46:49,A,Neutral,39.81,0.53
2025-05-21 20:46:49,A,Neutral,11.94,0.53
2025-05-21 20:46:50,A,Neutral,11.56,0.54
2025-05-21 20:46:50,A,Neutral,36.32,0.53
2025-05-21 20:46:50,A,Neutral,11.68,0.52
2025-05-21 20:46:50,A,Neutral,53.84,0.52
2025-05-21 20:46:50,A,Neutral,22.46,0.52
2025-05-21 20:46:50,A,Neutral,26.20,0.52
2025-05-21 20:46:50,A,Neutral,0.00,0.53
2025-05-21 20:46:50,A,Neutral,26.33,0.53
2025-05-21 20:46:50,A,Neutral,22.66,0.53
2025-05-21 20:46:50,A,Neutral,16.41,0.53
2025-05-21 20:46:50,A,Neutral,26.36,0.52
2025-05-21 20:46:51,A,Neutral,22.66,0.52
2025-05-21 20:46:51,A,Neutral,0.00,0.51
2025-05-21 20:46:51,A,Neutral,17.03,0.51
2025-05-21 20:46:51,A,Neutral,16.56,0.51
2025-05-21 20:46:51,A,Neutral,11.06,0.51
2025-05-21 20:46:51,A,Neutral,26.41,0.51
2025-05-21 20:46:51,A,Neutral,23.25,0.51
2025-05-21 20:46:51,A,Neutral,32.69,0.51
2025-05-21 20:46:51,A,Neutral,26.71,0.51
2025-05-21 20:46:51,A,Neutral,22.88,0.51
2025-05-21 20:46:51,A,Neutral,22.70,0.51
2025-05-21 20:46:51,A,Neutral,28.06,0.50
2025-05-21 20:46:52,A,Neutral,35.48,0.50
2025-05-21 20:46:52,A,Neutral,23.00,0.49
2025-05-21 20:46:52,A,Neutral,26.11,0.49
2025-05-21 20:46:52,A,Neutral,11.89,0.48
2025-05-21 20:46:52,A,Neutral,31.87,0.48
2025-05-21 20:46:52,A,Neutral,26.27,0.48
2025-05-21 20:46:52,A,Neutral,16.44,0.48
2025-05-21 20:46:52,A,Neutral,16.28,0.48
2025-05-21 20:46:52,A,Neutral,23.12,0.48
2025-05-21 20:46:52,A,Neutral,22.96,0.47
2025-05-21 20:46:52,A,Neutral,16.84,0.47
2025-05-21 20:46:53,A,Neutral,24.02,0.46
2025-05-21 20:46:53,A,Neutral,22.76,0.46
2025-05-21 20:46:53,A,Neutral,16.31,0.46
2025-05-21 20:46:53,A,Neutral,23.24,0.45
2025-05-21 20:46:53,A,Neutral,26.10,0.45
2025-05-21 20:46:53,A,Neutral,26.28,0.45
2025-05-21 20:46:53,A,Neutral,36.86,0.45
2025-05-21 20:46:53,A,Neutral,32.37,0.44
2025-05-21 20:46:53,A,Neutral,25.61,0.44
2025-05-21 20:46:53,A,Neutral,42.57,0.44
2025-05-21 20:46:53,A,Neutral,42.04,0.43
2025-05-21 20:46:53,A,Neutral,25.93,0.43
2025-05-21 20:46:54,A,Neutral,22.73,0.43
2025-05-21 20:46:54,A,Neutral,33.60,0.43
2025-05-21 20:46:54,A,Neutral,25.67,0.43
2025-05-21 20:46:54,A,Neutral,42.74,0.43
2025-05-21 20:46:54,A,Neutral,25.59,0.43
2025-05-21 20:46:54,A,Negative,42.25,0.43
2025-05-21 20:46:54,A,Negative,26.68,0.43
2025-05-21 20:46:54,A,Negative,22.69,0.44
2025-05-21 20:46:54,A,Negative,25.73,0.45
2025-05-21 20:46:54,A,Negative,26.63,0.46
2025-05-21 20:46:54,A,Negative,31.07,0.47
2025-05-21 20:46:55,A,Negative,34.17,0.48
2025-05-21 20:46:55,A,Neutral,47.94,0.49
2025-05-21 20:46:55,A,Neutral,16.48,0.50
2025-05-21 20:46:55,A,Neutral,36.20,0.51
2025-05-21 20:46:55,A,Neutral,26.76,0.52
2025-05-21 20:46:55,A,Negative,22.81,0.53
2025-05-21 20:46:55,A,Negative,36.82,0.53
2025-05-21 20:46:55,A,Negative,35.23,0.54
2025-05-21 20:46:55,A,Negative,35.34,0.54
2025-05-21 20:46:55,A,Negative,34.17,0.54
2025-05-21 20:46:55,A,Negative,26.43,0.54
2025-05-21 20:46:55,A,Negative,11.43,0.54
2025-05-21 20:46:56,A,Negative,48.04,0.53
2025-05-21 20:46:56,A,Neutral,26.53,0.53
2025-05-21 20:46:56,A,Neutral,23.28,0.52
2025-05-21 20:46:56,A,Neutral,25.63,0.52
2025-05-21 20:46:56,A,Neutral,45.26,0.52
2025-05-21 20:46:56,A,Negative,23.86,0.53
2025-05-21 20:46:56,A,Neutral,25.34,0.53
2025-05-21 20:46:56,A,Negative,43.30,0.53
2025-05-21 20:46:56,A,Negative,42.11,0.53
2025-05-21 20:46:56,A,Negative,49.61,0.52
2025-05-21 20:46:56,A,Neutral,26.07,0.52
2025-05-21 20:46:57,A,Neutral,31.80,0.52
2025-05-21 20:46:57,A,Neutral,38.03,0.51
2025-05-21 20:46:57,A,Neutral,42.41,0.51
2025-05-21 20:46:57,A,Neutral,33.32,0.51
2025-05-21 20:46:57,A,Neutral,42.44,0.51
2025-05-21 20:46:57,A,Neutral,34.05,0.50
2025-05-21 20:46:57,A,Neutral,23.28,0.50
2025-05-21 20:46:57,A,Neutral,35.95,0.50
2025-05-21 20:46:57,A,Neutral,47.71,0.49
2025-05-21 20:46:57,A,Neutral,42.35,0.49
2025-05-21 20:46:57,A,Neutral,32.61,0.49
2025-05-21 20:46:57,A,Neutral,34.69,0.49
2025-05-21 20:46:58,A,Neutral,25.71,0.48
2025-05-21 20:46:58,A,Neutral,32.90,0.48
2025-05-21 20:46:58,A,Neutral,37.31,0.48
2025-05-21 20:46:58,A,Neutral,11.48,0.47
2025-05-21 20:46:58,A,Neutral,26.58,0.47
2025-05-21 20:46:58,A,Neutral,23.56,0.47
2025-05-21 20:46:58,A,Neutral,11.56,0.47
2025-05-21 20:46:58,A,Neutral,11.33,0.47
2025-05-21 20:46:58,A,Neutral,0.00,0.46
2025-05-21 20:46:58,A,Neutral,26.31,0.47
2025-05-21 20:46:58,A,Neutral,16.71,0.47
2025-05-21 20:46:58,A,Neutral,0.00,0.47
2025-05-21 20:46:59,A,Neutral,0.00,0.47
2025-05-21 20:46:59,A,Neutral,0.00,0.47
2025-05-21 20:46:59,A,Neutral,0.00,0.47
2025-05-21 20:46:59,A,Neutral,0.00,0.47
2025-05-21 20:46:59,A,Neutral,0.00,0.47
2025-05-21 20:46:59,A,Neutral,0.00,0.47
2025-05-21 20:46:59,A,Neutral,0.00,0.47
